date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:40:42	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:42%20GMT	http://localhost/wordpress/category/portable/	/home/amulet/websites/backup/localhost/wordpress/category/portable/index.html	(from http://localhost/wordpress/)
00:40:42	57468/57468	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e07c-51f3927b00fc0%22	http://localhost/wordpress/wp-content/plugins/simple-follow-me-social-buttons-widget/assets/fonts/social_buttons.eot?3_4	/home/amulet/websites/backup/localhost/wordpress/wp-content/plugins/simple-follow-me-social-buttons-widget/assets/fonts/social_buttons046b.eot	(from http://localhost/wordpress/wp-content/plugins/simple-follow-me-social-buttons-widget/assets/css/icons.css?ver=3.3.3)
00:40:42	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:42%20GMT	http://localhost/wordpress/2016/09/	/home/amulet/websites/backup/localhost/wordpress/2016/09/index.html	(from http://localhost/wordpress/)
00:40:42	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:42%20GMT	http://localhost/wordpress/tag/gentoo/	/home/amulet/websites/backup/localhost/wordpress/tag/gentoo/index.html	(from http://localhost/wordpress/)
00:40:42	12516/12516	---M--	200	added ('OK')	image/jpeg	etag:%2230e4-53dc643b26cf6%22	http://localhost/wordpress/wp-content/uploads/2016/08/facebookxmpp-350x280.jpg	/home/amulet/websites/backup/localhost/wordpress/wp-content/uploads/2016/08/facebookxmpp-350x280.jpg	(from http://localhost/wordpress/es/)
00:40:44	8973/8973	---M--	200	added ('OK')	image/jpeg	etag:%22230d-53dc6440b858e%22	http://localhost/wordpress/wp-content/uploads/2016/07/ram_computer_memory_clip_art_10171-350x93.jpg	/home/amulet/websites/backup/localhost/wordpress/wp-content/uploads/2016/07/ram_computer_memory_clip_art_10171-350x93.jpg	(from http://localhost/wordpress/es/)
00:40:44	15099/15099	---M--	200	added ('OK')	image/jpeg	etag:%223afb-53dc6442d9066%22	http://localhost/wordpress/wp-content/uploads/2016/08/gentoolinux-151012124601-lva1-app6892-thumbnail-3.jpg	/home/amulet/websites/backup/localhost/wordpress/wp-content/uploads/2016/08/gentoolinux-151012124601-lva1-app6892-thumbnail-3.jpg	(from http://localhost/wordpress/es/)
00:40:45	15179/15179	---M--	200	added ('OK')	image/jpeg	etag:%223b4b-53dc64421f3be%22	http://localhost/wordpress/wp-content/uploads/2016/07/large-13-350x280.jpg	/home/amulet/websites/backup/localhost/wordpress/wp-content/uploads/2016/07/large-13-350x280.jpg	(from http://localhost/wordpress/es/)
00:40:46	16588/16588	---M--	200	added ('OK')	image/jpeg	etag:%2240cc-53dc64121179e%22	http://localhost/wordpress/wp-content/uploads/2016/07/4welxsa-350x280.jpg	/home/amulet/websites/backup/localhost/wordpress/wp-content/uploads/2016/07/4welxsa-350x280.jpg	(from http://localhost/wordpress/es/)
00:40:47	15288/15288	---M--	200	added ('OK')	image/jpeg	etag:%223bb8-53dc641060dbe%22	http://localhost/wordpress/wp-content/uploads/2016/07/large-4-350x233.jpg	/home/amulet/websites/backup/localhost/wordpress/wp-content/uploads/2016/07/large-4-350x233.jpg	(from http://localhost/wordpress/es/)
